datetime, Max, Min, Average,
03/01/2017 00,12.60000038,11.89999962,12.20166672, 
03/01/2017 01,12,11.69999981,11.94499989, 
03/01/2017 02,11.69999981,11.10000038,11.36333334, 
03/01/2017 03,11.69999981,11.10000038,11.3200002, 
03/01/2017 04,12.10000038,11.69999981,11.94500008, 
03/01/2017 05,11.69999981,11.10000038,11.34333332, 
03/01/2017 06,11.10000038,11,11.0616669, 
03/01/2017 07,12.39999962,11.10000038,11.55833338, 
03/01/2017 08,14.69999981,12.60000038,13.59666662, 
03/01/2017 09,18,14.80000019,16.34333334, 
03/01/2017 10,19.39999962,17.79999924,18.79666662, 
03/01/2017 11,20.79999924,19.5,20.23500001, 
03/01/2017 12,22.60000038,20.5,21.59833349, 
03/01/2017 13,22.89999962,22.20000076,22.63499991, 
03/01/2017 14,22.79999924,22,22.46000017, 
03/01/2017 15,22.79999924,22.20000076,22.40166655, 
03/01/2017 16,22.39999962,21.89999962,22.02499994, 
03/01/2017 17,21.89999962,20.29999924,21.03666658, 
03/01/2017 18,20.29999924,18.89999962,19.61666657, 
03/01/2017 19,18.89999962,18.20000076,18.68166672, 
03/01/2017 20,18.10000038,16.89999962,17.62833328, 
03/01/2017 21,16.89999962,16,16.26333348, 
03/01/2017 22,16,15,15.47333331, 
03/01/2017 23,15,13.60000038,14.30166661, 
03/02/2017 00,13.60000038,12.89999962,13.25166659, 
03/02/2017 01,12.89999962,12,12.36333332, 
03/02/2017 02,12.19999981,11.69999981,11.8833333, 
03/02/2017 03,11.89999962,11.30000019,11.4666666, 
03/02/2017 04,11.39999962,10.69999981,11.07833335, 
03/02/2017 05,10.69999981,10.39999962,10.63999998, 
03/02/2017 06,10.69999981,10.39999962,10.59000014, 
03/02/2017 07,12.39999962,10.69999981,11.42166661, 
03/02/2017 08,16.60000038,12.5,14.42666663, 
03/02/2017 09,19.20000076,16.70000076,17.63333356, 
03/02/2017 10,22.60000038,19.20000076,21.43666668, 
03/02/2017 11,23.60000038,22.60000038,23.07333342, 
03/02/2017 12,23.70000076,22.89999962,23.28333333, 
03/02/2017 13,24,22.79999924,23.41666657, 
03/02/2017 14,23.79999924,22.20000076,22.88499975, 
03/02/2017 15,23.29999924,22.10000038,22.90500008, 
03/02/2017 16,22.60000038,21.20000076,21.64166679, 
03/02/2017 17,21.39999962,16.5,18.77999992, 
03/02/2017 18,16.70000076,15.89999962,16.31333348, 
03/02/2017 19,16.5,15.89999962,16.16833363, 
03/02/2017 20,16,15.10000038,15.54500003, 
03/02/2017 21,15.10000038,13.80000019,14.46000002, 
03/02/2017 22,13.89999962,12.89999962,13.41333338, 
03/02/2017 23,12.89999962,12.19999981,12.45999993, 
03/03/2017 00,12.30000019,10.80000019,11.60333325, 
03/03/2017 01,11.19999981,10.80000019,11.055, 
03/03/2017 02,11,10.39999962,10.74166662, 
