datetime, Max, Min, Average
01/01/2017 00, 9.60000038147, 9, 9.353333330154666, 
01/01/2017 01, 9.19999980927, 8.5, 8.810000069937173, 
01/01/2017 02, 8.69999980927, 7.80000019073, 8.340000041326997, 
01/01/2017 03, 8.10000038147, 7.69999980927, 7.786666679382668, 
01/01/2017 04, 7.80000019073, 7.40000009537, 7.618965444893967, 
01/01/2017 05, 7.80000019073, 7.30000019073, 7.503333369890998, 
01/01/2017 06, 7.80000019073, 7.19999980927, 7.61000001430483, 
01/01/2017 07, 8.60000038147, 7.59999990463, 8.061666647593665, 
01/01/2017 08, 9.80000019073, 8.60000038147, 9.3599999745685, 
01/01/2017 09, 11.8999996185, 9.80000019073, 10.726666673033002, 
01/01/2017 10, 14.8999996185, 11.8999996185, 13.803333330151673, 
01/01/2017 11, 14.3999996185, 12.6000003815, 13.268333292005002, 
01/01/2017 12, 12.8000001907, 12.1999998093, 12.55000004767499, 
01/01/2017 13, 12.1999998093, 11.1999998093, 11.563333304719997, 
01/01/2017 14, 12, 11.6999998093, 11.85833323796334, 
01/01/2017 15, 13.1999998093, 11.8999996185, 12.713461527455765, 
01/01/2017 16, 13.1000003815, 12.5, 12.815254259918637, 
01/01/2017 17, 12.5, 12, 12.231666564925, 
01/01/2017 18, 12, 10.8999996185, 11.483333365124997, 
01/01/2017 19, 10.8000001907, 9.60000038147, 10.205000066758833, 
01/01/2017 20, 9.60000038147, 8.60000038147, 9.115000041326336, 
01/01/2017 21, 8.60000038147, 7.90000009537, 8.316666674614332, 
01/01/2017 22, 8.10000038147, 7.19999980927, 7.666666722297671, 
01/01/2017 23, 7.19999980927, 6.59999990463, 6.887719263110177, 
01/02/2017 00, 6.5, 6.30000019073, 6.413333415984991, 
01/02/2017 01, 6.40000009537, 5.69999980927, 6.028333369890831, 
01/02/2017 02, 5.69999980927, 5.40000009537, 5.563333272934999, 
01/02/2017 03, 5.40000009537, 5, 5.151666617393502, 
01/02/2017 04, 5.09999990463, 4.59999990463, 4.863333328565165, 
01/02/2017 05, 4.59999990463, 4.5, 4.529999971389001, 
01/02/2017 06, 4.90000009537, 4.5, 4.761666719117662, 
01/02/2017 07, 5.59999990463, 4.69999980927, 5.086666735012168, 
01/02/2017 08, 7.90000009537, 5.59999990463, 6.768333339691166, 
01/02/2017 09, 11.3999996185, 8, 9.708333301543664, 
01/02/2017 10, 15, 11.3000001907, 13.171666638053335, 
01/02/2017 11, 17.2000007629, 14.3999996185, 15.89000015258333, 
01/02/2017 12, 18.7000007629, 17.1000003815, 17.806666660303335, 
01/02/2017 13, 18.6000003815, 16.6000003815, 17.743333339693333, 
01/02/2017 14, 18, 15.6999998093, 16.688333225251668, 
01/02/2017 15, 15.8000001907, 14.3999996185, 14.893220319591528, 
01/02/2017 16, 14.3999996185, 12.8999996185, 13.832203250801694, 
01/02/2017 17, 13.1999998093, 12.8999996185, 13.023728871755925, 
01/02/2017 18, 13.1000003815, 11.1999998093, 11.96101691359153, 
01/02/2017 19, 11.1999998093, 10.1000003815, 10.506779638389824, 
01/02/2017 20, 10.1000003815, 9.69999980927, 9.843333355589664, 
01/02/2017 21, 9.80000019073, 8.69999980927, 9.038333368299993, 
01/02/2017 22, 9, 8.60000038147, 8.85333329836533, 
01/02/2017 23, 9, 8.5, 8.818643974045765, 
01/03/2017 00, 8.60000038147, 8.10000038147, 8.354237330162205, 
01/03/2017 01, 8.5, 7, 7.7305084487142395, 
01/03/2017 02, 7.09999990463, 6.5, 6.867796615018645, 
01/03/2017 03, 6.5, 5.5, 5.962711859557801, 
01/03/2017 04, 5.5, 5, 5.322807052679474, 
01/03/2017 05, 5.40000009537, 4.90000009537, 5.122033862745085, 
01/03/2017 06, 5.19999980927, 4.80000019073, 4.979661036344573, 
01/03/2017 07, 5.90000009537, 4.69999980927, 5.249999991778795, 
01/03/2017 08, 8.60000038147, 5.90000009537, 6.72250001430525, 
01/03/2017 09, 11.6000003815, 8.60000038147, 10.162068958942582, 
01/03/2017 10, 14.1000003815, 11.3999996185, 12.789090902159998, 
01/03/2017 11, 15.8000001907, 13.8000001907, 14.98679245642453, 
01/03/2017 12, 17.7000007629, 15.5, 16.776470670511763, 
01/03/2017 13, 18.6000003815, 17.2999992371, 18.179591821163267, 
01/03/2017 14, 18.2999992371, 17.5, 17.935555606422216, 
01/03/2017 15, 17.8999996185, 16.7999992371, 17.3325000763025, 
01/03/2017 16, 17.2999992371, 15.3999996185, 16.579069736381395, 
01/03/2017 17, 15.3000001907, 13.6999998093, 14.599999962792683, 
01/03/2017 18, 13.6999998093, 12.8000001907, 13.226190453488094, 
01/03/2017 19, 12.8999996185, 11.1999998093, 12.171874970184374, 
01/03/2017 20, 11.1999998093, 10.1000003815, 10.548648653818919, 
01/03/2017 21, 9.89999961853, 9.10000038147, 9.584210546392368, 
01/03/2017 22, 9.10000038147, 7.90000009537, 8.46562501788125, 
01/03/2017 23, 7.69999980927, 7.09999990463, 7.409999910990001, 
