datetime, Max, Min, Average,
01/01/2017 00,9.600000381,9,9.35333333, 
01/01/2017 01,9.199999809,8.5,8.81000007, 
01/01/2017 02,8.699999809,7.800000191,8.340000041, 
01/01/2017 03,8.100000381,7.699999809,7.786666679, 
01/01/2017 04,7.800000191,7.400000095,7.618965445, 
01/01/2017 05,7.800000191,7.300000191,7.50333337, 
01/01/2017 06,7.800000191,7.199999809,7.610000014, 
01/01/2017 07,8.600000381,7.599999905,8.061666648, 
01/01/2017 08,9.800000191,8.600000381,9.359999975, 
01/01/2017 09,11.89999962,9.800000191,10.72666667, 
01/01/2017 10,14.89999962,11.89999962,13.80333333, 
01/01/2017 11,14.39999962,12.60000038,13.26833329, 
01/01/2017 12,12.80000019,12.19999981,12.55000005, 
01/01/2017 13,12.19999981,11.19999981,11.5633333, 
01/01/2017 14,12,11.69999981,11.85833324, 
01/01/2017 15,13.19999981,11.89999962,12.71346153, 
01/01/2017 16,13.10000038,12.5,12.81525426, 
01/01/2017 17,12.5,12,12.23166656, 
01/01/2017 18,12,10.89999962,11.48333337, 
01/01/2017 19,10.80000019,9.600000381,10.20500007, 
01/01/2017 20,9.600000381,8.600000381,9.115000041, 
01/01/2017 21,8.600000381,7.900000095,8.316666675, 
01/01/2017 22,8.100000381,7.199999809,7.666666722, 
01/01/2017 23,7.199999809,6.599999905,6.887719263, 
01/02/2017 00,6.5,6.300000191,6.413333416, 
01/02/2017 01,6.400000095,5.699999809,6.02833337, 
01/02/2017 02,5.699999809,5.400000095,5.563333273, 
01/02/2017 03,5.400000095,5,5.151666617, 
01/02/2017 04,5.099999905,4.599999905,4.863333329, 
01/02/2017 05,4.599999905,4.5,4.529999971, 
01/02/2017 06,4.900000095,4.5,4.761666719, 
01/02/2017 07,5.599999905,4.699999809,5.086666735, 
01/02/2017 08,7.900000095,5.599999905,6.76833334, 
01/02/2017 09,11.39999962,8,9.708333302, 
01/02/2017 10,15,11.30000019,13.17166664, 
01/02/2017 11,17.20000076,14.39999962,15.89000015, 
01/02/2017 12,18.70000076,17.10000038,17.80666666, 
01/02/2017 13,18.60000038,16.60000038,17.74333334, 
01/02/2017 14,18,15.69999981,16.68833323, 
01/02/2017 15,15.80000019,14.39999962,14.89322032, 
01/02/2017 16,14.39999962,12.89999962,13.83220325, 
01/02/2017 17,13.19999981,12.89999962,13.02372887, 
01/02/2017 18,13.10000038,11.19999981,11.96101691, 
01/02/2017 19,11.19999981,10.10000038,10.50677964, 
01/02/2017 20,10.10000038,9.699999809,9.843333356, 
01/02/2017 21,9.800000191,8.699999809,9.038333368, 
01/02/2017 22,9,8.600000381,8.853333298, 
01/02/2017 23,9,8.5,8.818643974, 
01/03/2017 00,8.600000381,8.100000381,8.35423733, 
01/03/2017 01,8.5,7,7.730508449, 
01/03/2017 02,7.099999905,6.5,6.867796615, 
01/03/2017 03,6.5,5.5,5.96271186, 
01/03/2017 04,5.5,5,5.322807053, 
01/03/2017 05,5.400000095,4.900000095,5.122033863, 
01/03/2017 06,5.199999809,4.800000191,4.979661036, 
01/03/2017 07,5.900000095,4.699999809,5.249999992, 
01/03/2017 08,8.600000381,5.900000095,6.722500014, 
01/03/2017 09,11.60000038,8.600000381,10.16206896, 
01/03/2017 10,14.10000038,11.39999962,12.7890909, 
01/03/2017 11,15.80000019,13.80000019,14.98679246, 
01/03/2017 12,17.70000076,15.5,16.77647067, 
01/03/2017 13,18.60000038,17.29999924,18.17959182, 
01/03/2017 14,18.29999924,17.5,17.93555561, 
01/03/2017 15,17.89999962,16.79999924,17.33250008, 
01/03/2017 16,17.29999924,15.39999962,16.57906974, 
01/03/2017 17,15.30000019,13.69999981,14.59999996, 
01/03/2017 18,13.69999981,12.80000019,13.22619045, 
01/03/2017 19,12.89999962,11.19999981,12.17187497, 
01/03/2017 20,11.19999981,10.10000038,10.54864865, 
01/03/2017 21,9.899999619,9.100000381,9.584210546, 
01/03/2017 22,9.100000381,7.900000095,8.465625018, 
01/03/2017 23,7.699999809,7.099999905,7.409999911, 
01/04/2017 00,7.300000191,6.800000191,7.016666683, 
01/04/2017 01,6.900000095,6,6.389999994, 
01/04/2017 02,6.199999809,5.599999905,5.944444427, 
01/04/2017 03,5.699999809,5.300000191,5.515151501, 
01/04/2017 04,5.400000095,5,5.143999958, 
01/04/2017 05,5,4.5,4.67368417, 
01/04/2017 06,4.699999809,4.5,4.549999952, 
01/04/2017 07,5.599999905,4.699999809,5.091666619, 
01/04/2017 08,9.199999809,5.599999905,7.747826099, 
01/04/2017 09,11.89999962,9.399999619,10.09473665, 
01/04/2017 10,13.89999962,11.80000019,12.93000002, 
01/04/2017 11,17.20000076,14.19999981,15.74210533, 
01/04/2017 12,17.70000076,17,17.37499986, 
01/04/2017 13,18.89999962,18.10000038,18.42608692, 
01/04/2017 14,18.70000076,17.89999962,18.30000019, 
01/04/2017 15,18.70000076,17.39999962,17.94000015, 
01/04/2017 16,16.39999962,15.10000038,15.54210542, 
