datetime, Max, Min, Average
03/01/2017 00, 12.6000003815, 11.8999996185, 12.201666720703338, 
03/01/2017 01, 12, 11.6999998093, 11.94499988554833, 
03/01/2017 02, 11.6999998093, 11.1000003815, 11.363333336518336, 
03/01/2017 03, 11.6999998093, 11.1000003815, 11.320000203464993, 
03/01/2017 04, 12.1000003815, 11.6999998093, 11.94500007630001, 
03/01/2017 05, 11.6999998093, 11.1000003815, 11.343333323784993, 
03/01/2017 06, 11.1000003815, 11, 11.061666901924996, 
03/01/2017 07, 12.3999996185, 11.1000003815, 11.558333381023335, 
03/01/2017 08, 14.6999998093, 12.6000003815, 13.596666622153338, 
03/01/2017 09, 18, 14.8000001907, 16.343333339680004, 
03/01/2017 10, 19.3999996185, 17.7999992371, 18.796666622158337, 
03/01/2017 11, 20.7999992371, 19.5, 20.235000006358337, 
03/01/2017 12, 22.6000003815, 20.5, 21.59833348592166, 
03/01/2017 13, 22.8999996185, 22.2000007629, 22.63499991099834, 
03/01/2017 14, 22.7999992371, 22, 22.460000165304997, 
03/01/2017 15, 22.7999992371, 22.2000007629, 22.40166654587334, 
03/01/2017 16, 22.3999996185, 21.8999996185, 22.024999936408346, 
03/01/2017 17, 21.8999996185, 20.2999992371, 21.036666584015006, 
03/01/2017 18, 20.2999992371, 18.8999996185, 19.616666571301675, 
03/01/2017 19, 18.8999996185, 18.2000007629, 18.681666723879996, 
03/01/2017 20, 18.1000003815, 16.8999996185, 17.62833328246833, 
03/01/2017 21, 16.8999996185, 16, 16.263333479556664, 
03/01/2017 22, 16, 15, 15.473333311081673, 
03/01/2017 23, 15, 13.6000003815, 14.301666609448338, 
03/02/2017 00, 13.6000003815, 12.8999996185, 13.251666593539994, 
03/02/2017 01, 12.8999996185, 12, 12.363333320626673, 
03/02/2017 02, 12.1999998093, 11.6999998093, 11.883333301538334, 
03/02/2017 03, 11.8999996185, 11.3000001907, 11.466666603064997, 
03/02/2017 04, 11.3999996185, 10.6999998093, 11.078333346046671, 
03/02/2017 05, 10.6999998093, 10.3999996185, 10.639999977774993, 
03/02/2017 06, 10.6999998093, 10.3999996185, 10.590000136714993, 
03/02/2017 07, 12.3999996185, 10.6999998093, 11.42166660626667, 
03/02/2017 08, 16.6000003815, 12.5, 14.426666625343332, 
03/02/2017 09, 19.2000007629, 16.7000007629, 17.633333555851664, 
03/02/2017 10, 22.6000003815, 19.2000007629, 21.436666679373335, 
03/02/2017 11, 23.6000003815, 22.6000003815, 23.073333422349997, 
03/02/2017 12, 23.7000007629, 22.8999996185, 23.283333333328343, 
03/02/2017 13, 24, 22.7999992371, 23.416666571296673, 
03/02/2017 14, 23.7999992371, 22.2000007629, 22.884999752051684, 
03/02/2017 15, 23.2999992371, 22.1000003815, 22.905000082651664, 
03/02/2017 16, 22.6000003815, 21.2000007629, 21.641666793821674, 
03/02/2017 17, 21.3999996185, 16.5, 18.779999923705002, 
03/02/2017 18, 16.7000007629, 15.8999996185, 16.31333347955667, 
03/02/2017 19, 16.5, 15.8999996185, 16.168333625783326, 
03/02/2017 20, 16, 15.1000003815, 15.545000028610003, 
03/02/2017 21, 15.1000003815, 13.8000001907, 14.46000002225333, 
03/02/2017 22, 13.8999996185, 12.8999996185, 13.413333384195004, 
03/02/2017 23, 12.8999996185, 12.1999998093, 12.459999926879998, 
03/03/2017 00, 12.3000001907, 10.8000001907, 11.603333250685004, 
03/03/2017 01, 11.1999998093, 10.8000001907, 11.055000003189997, 
03/03/2017 02, 11, 10.3999996185, 10.741666618983336, 
03/03/2017 03, 10.3999996185, 10.1999998093, 10.288333288816675, 
03/03/2017 04, 10.3000001907, 10.1999998093, 10.231666596743333, 
03/03/2017 05, 10.3000001907, 9.60000038147, 9.878333298371171, 
03/03/2017 06, 10.1999998093, 9.80000019073, 9.998333311088, 
03/03/2017 07, 12.1999998093, 10.1999998093, 11.008333333333335, 
03/03/2017 08, 12.8999996185, 11.8999996185, 12.198333231608334, 
03/03/2017 09, 18.3999996185, 12.8999996185, 15.288333257033331, 
03/03/2017 10, 20.3999996185, 18.3999996185, 19.543333276115, 
03/03/2017 11, 22.5, 20.1000003815, 21.693333244323338, 
03/03/2017 12, 23.2000007629, 22.2000007629, 22.655000019078333, 
03/03/2017 13, 23.5, 22.3999996185, 22.831666755674995, 
03/03/2017 14, 23.5, 22.8999996185, 23.236666584021677, 
