datetime, Max, Min, Average
06/01/2017 00, 21.5, 21.1000003815, 21.228813914922018, 
06/01/2017 01, 21.2999992371, 20.7000007629, 21.096428837080357, 
06/01/2017 02, 20.7000007629, 20.2999992371, 20.562222459584444, 
06/01/2017 03, 20.2999992371, 20.1000003815, 20.228571414957138, 
06/01/2017 04, 20.1000003815, 19.7999992371, 19.904999637613354, 
06/01/2017 05, 20.1000003815, 19.7000007629, 19.806383376406384, 
06/01/2017 06, 21.2000007629, 20, 20.371666812896667, 
06/01/2017 07, 22.7999992371, 21.2000007629, 21.903921725696087, 
06/01/2017 08, 25, 22.7999992371, 23.854237152355932, 
06/01/2017 09, 26.2999992371, 24.3999996185, 25.204999764765017, 
06/01/2017 10, 27.6000003815, 25.6000003815, 26.780000050855005, 
06/01/2017 11, 28.2000007629, 27.3999996185, 27.705000019070003, 
06/01/2017 12, 28.8999996185, 28, 28.43166656494834, 
06/01/2017 13, 29, 28.2000007629, 28.766666634878327, 
06/01/2017 14, 29.6000003815, 28.6000003815, 29.22500003179167, 
06/01/2017 15, 29.7000007629, 29, 29.31694913315085, 
06/01/2017 16, 29, 28, 28.51296308305555, 
06/01/2017 17, 28.7000007629, 27.5, 28.228000068666002, 
06/01/2017 18, 27.3999996185, 25.8999996185, 26.530769091386542, 
06/01/2017 19, 25.8999996185, 25.1000003815, 25.452830224671693, 
06/01/2017 20, 25, 24.7000007629, 24.92500001733636, 
06/01/2017 21, 24.1000003815, 23.7000007629, 23.90370361893333, 
06/01/2017 22, 23.7000007629, 23, 23.41200004576399, 
06/01/2017 23, 23, 22.6000003815, 22.783333142605557, 
06/02/2017 00, 22.7999992371, 22.1000003815, 22.534782824317393, 
06/02/2017 01, 21.8999996185, 21.7000007629, 21.82142795837143, 
06/02/2017 03, 21.3999996185, 21.2000007629, 21.307692160961537, 
06/02/2017 04, 21.3999996185, 21, 21.216667016325, 
06/02/2017 05, 20.8999996185, 20.5, 20.636363983163633, 
06/02/2017 06, 21.7000007629, 20.7999992371, 21.300000190725, 
06/02/2017 07, 23.2999992371, 21.8999996185, 22.561538109423076, 
06/02/2017 08, 25.2000007629, 23.5, 24.483333428699996, 
06/02/2017 09, 27, 25, 26.05454566261818, 
06/02/2017 10, 28, 26.7999992371, 27.565384498011536, 
06/02/2017 11, 29, 27.7000007629, 28.551515001236368, 
06/02/2017 12, 29, 28.2999992371, 28.69019601859608, 
06/02/2017 13, 29.6000003815, 28.7000007629, 28.998333231608335, 
06/02/2017 14, 29.8999996185, 28.7000007629, 29.288333415984994, 
06/02/2017 15, 29.8999996185, 28.7999992371, 29.385000101714983, 
06/02/2017 16, 29.2999992371, 27.5, 28.428301973167926, 
06/02/2017 17, 27.7000007629, 26.5, 26.92833340962001, 
06/02/2017 18, 26.3999996185, 25.7000007629, 25.966666285209996, 
06/02/2017 19, 25.7000007629, 23.8999996185, 24.687500158945834, 
06/02/2017 20, 24, 23.5, 23.605000114445, 
06/02/2017 21, 23.7999992371, 23.2000007629, 23.5333334605, 
06/02/2017 22, 23.2999992371, 22.8999996185, 23.149999856962502, 
06/02/2017 23, 23, 22.1000003815, 22.69090895220909, 
06/03/2017 00, 22.1000003815, 21.8999996185, 22, 
06/03/2017 01, 22, 21.7999992371, 21.86666615803749, 
06/03/2017 02, 21.8999996185, 21.8999996185, 21.8999996185, 
06/03/2017 04, 21.7000007629, 21.5, 21.600000381450002, 
06/03/2017 05, 21.3999996185, 21.2000007629, 21.26666662427778, 
06/03/2017 06, 22, 21.3999996185, 21.80999946595, 
06/03/2017 07, 22.7999992371, 22, 22.476922988884617, 
06/03/2017 08, 25.2999992371, 23.2000007629, 24.006250023825, 
06/03/2017 09, 26.1000003815, 25.7000007629, 25.900000020078945, 
06/03/2017 10, 27.2999992371, 25.8999996185, 26.90000016347143, 
06/03/2017 11, 27.6000003815, 26.2999992371, 26.905262997278943, 
06/03/2017 12, 28.7999992371, 27.5, 28.41428575061428, 
06/03/2017 13, 29.7999992371, 28.3999996185, 29.226923208973076, 
06/03/2017 14, 30.6000003815, 29.3999996185, 29.94444460338888, 
06/03/2017 15, 30.2000007629, 29.1000003815, 29.69090906778485, 
06/03/2017 16, 29.5, 28.8999996185, 29.145454637927273, 
06/03/2017 17, 29, 28.1000003815, 28.645161167258063, 
06/03/2017 18, 28.1000003815, 27.1000003815, 27.595833142604153, 
06/03/2017 19, 26.7000007629, 25.8999996185, 26.33666693368999, 
06/03/2017 20, 25.8999996185, 25.1000003815, 25.539393916284858, 
06/03/2017 21, 25.1000003815, 24.2999992371, 24.699999901567743, 
06/03/2017 22, 24.2999992371, 23.5, 23.930555873433335, 
06/03/2017 23, 23.5, 23, 23.22631574931579, 
06/04/2017 00, 22.7000007629, 22.2999992371, 22.462499856958328, 
06/04/2017 01, 22.7000007629, 22.3999996185, 22.561764941511772, 
06/04/2017 02, 22.7000007629, 22.5, 22.55217411207391, 
06/04/2017 03, 22.7000007629, 22.5, 22.591667016345838, 
06/04/2017 04, 22.1000003815, 21.8999996185, 22, 
06/04/2017 05, 21.7000007629, 21.5, 21.62857191902857, 
06/04/2017 06, 22.7999992371, 21.7000007629, 22.137931034475855, 
06/04/2017 07, 24.2000007629, 22.7999992371, 23.454545454549997, 
06/04/2017 08, 26.6000003815, 24.2000007629, 25.517241379310345, 
06/04/2017 09, 28.5, 26.3999996185, 27.386206725541378, 
06/04/2017 10, 29.2999992371, 28, 28.807142802653573, 
