datetime, Max, Min, Average
09/01/2017 00, 22.7000007629, 22.5, 22.61190518878334, 
09/01/2017 01, 22.7000007629, 22.2000007629, 22.51166680654001, 
09/01/2017 02, 22.2000007629, 22, 22.06333357494332, 
09/01/2017 03, 22, 21.5, 21.81499986646833, 
09/01/2017 04, 21.7000007629, 21.3999996185, 21.60612285379999, 
09/01/2017 05, 21.7000007629, 21.5, 21.54666684468832, 
09/01/2017 06, 22.1000003815, 21.6000003815, 21.80666666031666, 
09/01/2017 07, 22.8999996185, 21.8999996185, 22.36666657131502, 
09/01/2017 08, 24.2000007629, 22.7000007629, 23.280000146224992, 
09/01/2017 09, 25.7999992371, 24.2000007629, 25.103333504998332, 
09/01/2017 10, 27.2999992371, 25.5, 26.075438817342103, 
09/01/2017 11, 26.2999992371, 25.2999992371, 25.92978704738086, 
09/01/2017 12, 24.5, 24, 24.15952414557619, 
09/01/2017 13, 27.3999996185, 24.2000007629, 25.923333390554998, 
09/01/2017 14, 28, 27.2000007629, 27.608333174375005, 
09/01/2017 15, 27.3999996185, 26.2999992371, 26.749999777468346, 
09/01/2017 16, 27.6000003815, 26.3999996185, 26.861666838329988, 
09/01/2017 17, 26.7000007629, 24.5, 25.863333384203337, 
09/01/2017 18, 24.5, 23.8999996185, 24.17833356857332, 
09/01/2017 19, 23.8999996185, 23.5, 23.734482798075852, 
09/01/2017 20, 23.2999992371, 23.1000003815, 23.139024781031708, 
09/01/2017 21, 23.2999992371, 22.1000003815, 22.786792503207547, 
09/01/2017 22, 21.8999996185, 21.2000007629, 21.561764997573533, 
09/01/2017 23, 21.2000007629, 20.5, 20.9068966569431, 
09/02/2017 00, 20.6000003815, 20, 20.453658545895127, 
09/02/2017 01, 20, 19.8999996185, 19.96166652042501, 
09/02/2017 02, 20.2000007629, 19.8999996185, 20.07166694004998, 
09/02/2017 03, 20.2000007629, 19.8999996185, 20.041666825599986, 
09/02/2017 04, 20.2000007629, 19.8999996185, 20.02833344142167, 
09/02/2017 05, 20.2000007629, 19.8999996185, 20.020000076286653, 
09/02/2017 06, 20.7000007629, 20.1000003815, 20.364102926007686, 
09/02/2017 07, 21.8999996185, 20.7000007629, 21.28166669210001, 
09/02/2017 08, 22.8999996185, 21.7999992371, 22.19999984593846, 
09/02/2017 09, 24.6000003815, 23, 24.157142866228565, 
09/02/2017 10, 26, 24.6000003815, 25.208333301546666, 
09/02/2017 11, 26.8999996185, 25.5, 26.17833325068501, 
09/02/2017 12, 26.2999992371, 25.1000003815, 25.525000063581672, 
09/02/2017 13, 27.6000003815, 26, 27.041666730251663, 
09/02/2017 14, 28.1000003815, 26.5, 27.06499996185335, 
09/02/2017 15, 26.5, 25, 25.61914902544468, 
09/02/2017 16, 25.2000007629, 25, 25.14727328906361, 
09/02/2017 17, 25.2000007629, 24.7000007629, 24.969230896394873, 
09/02/2017 18, 24.6000003815, 23.8999996185, 24.22083318233541, 
09/02/2017 19, 23.8999996185, 23.1000003815, 23.518333307898324, 
09/02/2017 20, 23.2000007629, 22.8999996185, 23.023333422323347, 
09/02/2017 21, 22.8999996185, 22.3999996185, 22.703333441414983, 
09/02/2017 22, 22.3999996185, 21.8999996185, 22.03166659671835, 
09/02/2017 23, 22, 21.8999996185, 21.931666405975005, 
09/03/2017 00, 22.1000003815, 21, 21.51333344776833, 
09/03/2017 01, 21, 20.7999992371, 20.834999370591685, 
09/03/2017 02, 20.7999992371, 20.2999992371, 20.439130078171747, 
09/03/2017 03, 20.6000003815, 20.2999992371, 20.439999771108333, 
09/03/2017 04, 20.3999996185, 20.2000007629, 20.301666100843352, 
09/03/2017 05, 20.2999992371, 19.7000007629, 20.10526345905, 
09/03/2017 06, 20.3999996185, 19.7000007629, 19.953333187100018, 
09/03/2017 07, 22.1000003815, 20.3999996185, 21.06666666666667, 
09/03/2017 08, 23.7999992371, 22.2000007629, 23.030000019074986, 
09/03/2017 09, 24.5, 23.7000007629, 24.054999796555023, 
09/03/2017 10, 26.7999992371, 24.5, 25.936666711175004, 
09/03/2017 11, 26.7999992371, 25.6000003815, 26.261666647598336, 
09/03/2017 12, 26, 24.6000003815, 25.406521963034788, 
09/03/2017 13, 26.7999992371, 25.8999996185, 26.311666774754993, 
09/03/2017 14, 27, 25.8999996185, 26.479310331665516, 
09/03/2017 15, 26.5, 25, 25.37333335877166, 
09/03/2017 16, 25.7000007629, 25, 25.23333337572, 
09/03/2017 17, 25.1000003815, 24.2999992371, 24.825000031791667, 
09/03/2017 18, 24.2000007629, 23.3999996185, 23.748333422339996, 
09/03/2017 19, 23.5, 23.2999992371, 23.448333136241686, 
09/03/2017 20, 23.2999992371, 22.7999992371, 23.028333346055025, 
09/03/2017 21, 22.8999996185, 22.3999996185, 22.593333180745002, 
09/03/2017 22, 22.3999996185, 22.2999992371, 22.35166610082336, 
