datetime, Max, Min, Average
11/01/2017 00, 11.8999996185, 11.3999996185, 11.70833339690833, 
11/01/2017 01, 11.6999998093, 11.1999998093, 11.409999926896678, 
11/01/2017 02, 11.1999998093, 11.1000003815, 11.174999952349998, 
11/01/2017 03, 11.1000003815, 10.8000001907, 10.901666609424986, 
11/01/2017 04, 11.1999998093, 10.3999996185, 10.70999999047666, 
11/01/2017 05, 11.6999998093, 11.1999998093, 11.500000024466667, 
11/01/2017 06, 11.8999996185, 11.6000003815, 11.819999980899997, 
11/01/2017 07, 12.1999998093, 11.8000001907, 11.946666558569996, 
11/01/2017 08, 14.3999996185, 12.1999998093, 13.228333346051665, 
11/01/2017 09, 17.2000007629, 14.5, 15.898333485924997, 
11/01/2017 10, 17.3999996185, 17.3999996185, 17.3999996185, 
11/01/2017 11, 21.2000007629, 21, 21.10000038148333, 
11/01/2017 12, 22.5, 21.1000003815, 22.028333346045006, 
11/01/2017 13, 23, 21.7999992371, 22.571929831256146, 
11/01/2017 14, 22.3999996185, 21.3999996185, 21.785000101719998, 
11/01/2017 15, 21.8999996185, 20.5, 21.194999917348333, 
11/01/2017 16, 20.5, 18.7000007629, 19.66999994913166, 
11/01/2017 17, 18.6000003815, 17.7999992371, 18.1999995708625, 
11/01/2017 18, 17.7000007629, 17.3999996185, 17.526666768388335, 
11/01/2017 19, 17.3999996185, 16.7999992371, 17.09833323160834, 
11/01/2017 20, 16.8999996185, 16.1000003815, 16.594999885559996, 
11/01/2017 21, 16, 15.3999996185, 15.621666526781675, 
11/01/2017 22, 15.3999996185, 14.3999996185, 14.889999993640004, 
11/01/2017 23, 14.3999996185, 13.8999996185, 14.164285523535709, 
11/02/2017 00, 14.3000001907, 13.6999998093, 14.050000020424987, 
11/02/2017 01, 14.3000001907, 13.8999996185, 14.099999978822236, 
11/02/2017 02, 14.1000003815, 13.6999998093, 13.834999895091658, 
11/02/2017 03, 14.3000001907, 14.1000003815, 14.263333400079999, 
11/02/2017 04, 14.3000001907, 14.1000003815, 14.203333409639992, 
11/02/2017 05, 14.3000001907, 14.1999998093, 14.296666844653323, 
11/02/2017 06, 14.3000001907, 13.8999996185, 14.031666549048328, 
11/02/2017 07, 14.8999996185, 14.3000001907, 14.598333295185007, 
11/02/2017 08, 16.3999996185, 14.8000001907, 15.565000009528337, 
11/02/2017 09, 18.7000007629, 16.2000007629, 17.51904769169524, 
11/02/2017 10, 21.3999996185, 18.8999996185, 20.21111106872778, 
11/02/2017 11, 23.5, 21.1000003815, 22.128846131834617, 
11/02/2017 12, 24.2000007629, 23, 23.430769113396156, 
11/02/2017 13, 23.8999996185, 22.7999992371, 23.320689760396554, 
11/02/2017 14, 23.7999992371, 22.8999996185, 23.40000004239259, 
11/02/2017 15, 23.2999992371, 22.3999996185, 22.827083110810417, 
11/02/2017 16, 22.7000007629, 20.7999992371, 21.92500012716167, 
11/02/2017 17, 20.7999992371, 19.1000003815, 19.84833332697499, 
11/02/2017 18, 19.1000003815, 18.3999996185, 18.74833326339666, 
11/02/2017 19, 18.3999996185, 17.6000003815, 18.084999879199994, 
11/02/2017 20, 17.6000003815, 16.5, 17.030000019073334, 
11/02/2017 21, 16.3999996185, 15.5, 15.786666742964991, 
11/02/2017 22, 15.6999998093, 14.8999996185, 15.376666641234998, 
11/02/2017 23, 14.8999996185, 14.3000001907, 14.627906954544187, 
11/03/2017 00, 14.3999996185, 13.3999996185, 13.866666603076663, 
11/03/2017 01, 13.5, 13.3999996185, 13.434999752024995, 
11/03/2017 02, 13.3999996185, 12.8000001907, 13.109999847391668, 
11/03/2017 03, 12.8000001907, 12.1999998093, 12.47333329518333, 
11/03/2017 04, 12.1999998093, 12, 12.061666742975001, 
11/03/2017 05, 12.1999998093, 12, 12.01500004133, 
11/03/2017 06, 12.5, 11.8999996185, 12.136363462945457, 
11/03/2017 07, 14.5, 12.6999998093, 13.583333356033332, 
11/03/2017 08, 18.7000007629, 14.6000003815, 16.836666631698343, 
11/03/2017 09, 21, 18.3999996185, 19.291666603090004, 
11/03/2017 10, 22.6000003815, 20.6000003815, 21.581666660301668, 
11/03/2017 11, 23.6000003815, 22.7000007629, 23.004000091551998, 
11/03/2017 12, 25.2999992371, 24, 24.50624978543125, 
11/03/2017 13, 25.2999992371, 23.5, 24.25416648388334, 
11/03/2017 14, 23.5, 21.7999992371, 22.509999942783335, 
11/03/2017 15, 23.5, 21.8999996185, 23.08499991098834, 
11/03/2017 16, 23.2000007629, 21.1000003815, 22.280851242387236, 
11/03/2017 17, 20.1000003815, 19.6000003815, 19.828571455828573, 
11/03/2017 18, 19.5, 18.7000007629, 19.26764701393823, 
11/03/2017 19, 18.7000007629, 17.5, 18.180357456198212, 
11/03/2017 20, 17.5, 16.7000007629, 17.022448909524492, 
11/03/2017 21, 16.7000007629, 15.6999998093, 16.402631809823685, 
11/03/2017 22, 15.6999998093, 14.8000001907, 15.210344742072415, 
11/03/2017 23, 14.8000001907, 13.8000001907, 14.15833333332333, 
11/04/2017 00, 14.1000003815, 13.6999998093, 13.846666765199984, 
11/04/2017 01, 13.8000001907, 12.8999996185, 13.29833329518167, 
11/04/2017 02, 13.1999998093, 12.6999998093, 13.030000095378009, 
11/04/2017 03, 12.6999998093, 12.3999996185, 12.507407329699996, 
11/04/2017 04, 12.3999996185, 11.8000001907, 12.141666650768332, 
11/04/2017 05, 12.1999998093, 11.5, 11.851923007230777, 
11/04/2017 06, 12, 11.8999996185, 11.992307662961538, 
11/04/2017 07, 14.5, 13.1000003815, 13.793103481151723, 
11/04/2017 08, 19, 14.5, 16.566666746136672, 
11/04/2017 09, 20.5, 18.8999996185, 19.90666659673167, 
11/04/2017 10, 23.2000007629, 20.5, 21.943333530421672, 
11/04/2017 11, 23.2999992371, 22.3999996185, 22.961666742964994, 
11/04/2017 12, 24.2000007629, 23.2999992371, 23.643749833106245, 
11/04/2017 13, 24.5, 23.2999992371, 23.885714258471427, 
11/04/2017 14, 24.5, 23.7000007629, 23.974999904628337, 
11/04/2017 15, 24, 23.1000003815, 23.65833330154375, 
11/04/2017 16, 23.3999996185, 22.2999992371, 22.863157941582458, 
11/04/2017 17, 22.2000007629, 20.3999996185, 21.163333447766668, 
11/04/2017 18, 20.3999996185, 19.1000003815, 19.82333329519167, 
11/04/2017 19, 19.1000003815, 17.7000007629, 18.56499986648167, 
11/04/2017 20, 17.7000007629, 16.7999992371, 17.32000010807333, 
11/04/2017 21, 16.7999992371, 15.8999996185, 16.33833344777834, 
11/04/2017 22, 15.8999996185, 15.3000001907, 15.516666650765005, 
11/04/2017 23, 15.3999996185, 14, 15.146666622153335, 
11/05/2017 00, 14.3000001907, 13.8000001907, 14.091666682571661, 
11/05/2017 01, 13.8000001907, 12.8999996185, 13.446666701634996, 
11/05/2017 02, 13.1999998093, 12.8999996185, 13.023333231609996, 
11/05/2017 03, 12.8999996185, 12.6000003815, 12.821428525990475, 
11/05/2017 04, 12.6000003815, 12, 12.246428694053572, 
11/05/2017 05, 12.1000003815, 11.8000001907, 11.939999898259998, 
11/05/2017 06, 12.6999998093, 12, 12.103333441426665, 
11/05/2017 07, 14.6000003815, 12.6999998093, 13.574999984106672, 
11/05/2017 08, 19.7999992371, 14.6000003815, 17.375000000001663, 
11/05/2017 09, 20.7000007629, 18.3999996185, 19.310869548630436, 
11/05/2017 10, 22.3999996185, 20.5, 21.441666571296672, 
11/05/2017 11, 24.2000007629, 22.2000007629, 23.568333403264994, 
11/05/2017 12, 25.2000007629, 23.8999996185, 24.350000095366667, 
11/05/2017 13, 25, 23.7000007629, 24.306896505686215, 
11/05/2017 14, 23.7999992371, 23.1000003815, 23.359999974580003, 
11/05/2017 15, 23.6000003815, 22, 22.94166647592834, 
11/05/2017 16, 22, 20.2999992371, 21.063333288833334, 
11/05/2017 17, 20.2999992371, 19.5, 19.88166672388833, 
11/05/2017 18, 19.5, 18.7000007629, 19.22000001271666, 
11/05/2017 19, 18.7000007629, 17.5, 18.125000000005, 
11/05/2017 20, 17.5, 17, 17.24074095265556, 
11/05/2017 21, 16.1000003815, 15.6000003815, 15.922034004994913, 
11/05/2017 22, 15.6000003815, 14.6999998093, 15.271666558573333, 
11/05/2017 23, 14.8000001907, 14.6000003815, 14.713043544613045, 
