datetime, Max, Min, Average,
01/01/2018 00,9.100000381,8.800000191,8.981666756, 
01/01/2018 01,9.100000381,8.5,8.89166681, 
01/01/2018 02,8.699999809,8.399999619,8.575000159, 
01/01/2018 03,8.5,8.300000191,8.436666584, 
01/01/2018 04,8.5,8.100000381,8.35, 
01/01/2018 05,8.100000381,7.800000191,7.871666797, 
01/01/2018 06,8.100000381,7.900000095,8.023333502, 
01/01/2018 07,8.600000381,8,8.2150002, 
01/01/2018 08,10.19999981,8.600000381,9.463333321, 
01/01/2018 09,12.39999962,10.19999981,11.4233333, 
01/01/2018 10,14.80000019,12.5,13.90833332, 
01/01/2018 11,17.5,14.69999981,16.29166662, 
01/01/2018 12,18.60000038,17.29999924,17.92333339, 
01/01/2018 13,18.89999962,17.79999924,18.2683334, 
01/01/2018 14,19.10000038,18.20000076,18.70333341, 
01/01/2018 15,19,17.70000076,18.33833351, 
01/01/2018 16,17.60000038,15.10000038,16.45499999, 
01/01/2018 17,15.10000038,13.69999981,14.21499999, 
01/01/2018 18,13.69999981,12.39999962,13.11000005, 
01/01/2018 19,12.60000038,11.69999981,12.16333324, 
01/01/2018 20,11.69999981,10.5,11.07833339, 
01/01/2018 21,10.69999981,9.600000381,10.21666667, 
01/01/2018 22,9.600000381,8.600000381,9.031666724, 
01/01/2018 23,8.600000381,8.100000381,8.353333378, 
01/02/2018 00,8.199999809,7.599999905,7.816666651, 
01/02/2018 01,7.5,6.5,7.084999983, 
01/02/2018 02,6.5,6,6.276666721, 
01/02/2018 03,6,5.599999905,5.865000017, 
01/02/2018 04,5.699999809,5,5.316666698, 
01/02/2018 05,5.300000191,4.900000095,5.06500001, 
01/02/2018 06,5,4.800000191,4.966666698, 
01/02/2018 07,6.099999905,5,5.436666703, 
01/02/2018 08,10.60000038,6.099999905,7.875, 
01/02/2018 09,13.30000019,10.30000019,11.84833336, 
01/02/2018 10,16.20000076,13.39999962,15.15000005, 
01/02/2018 11,17.29999924,15.30000019,16.34666669, 
01/02/2018 12,17.79999924,16.70000076,17.06999989, 
01/02/2018 13,18.29999924,16.5,17.43333337, 
01/02/2018 14,18.10000038,17.29999924,17.59333334, 
01/02/2018 15,17.39999962,16.10000038,17.08448282, 
01/02/2018 16,16.10000038,14.39999962,15.32666664, 
01/02/2018 17,14.30000019,13,13.60862073, 
01/02/2018 18,13,11.60000038,12.34333329, 
01/02/2018 19,11.60000038,10.80000019,11.09833328, 
01/02/2018 20,10.80000019,9.399999619,10.03333335, 
01/02/2018 21,9.399999619,8.300000191,8.76101691, 
01/02/2018 22,8.5,7,7.806666692, 
01/02/2018 23,7,6.199999809,6.556666724, 
01/03/2018 00,6.400000095,6,6.190000041, 
01/03/2018 01,6.199999809,5,5.53999993, 
01/03/2018 02,5.099999905,4.5,4.801666673, 
01/03/2018 03,4.599999905,4.300000191,4.458333373, 
01/03/2018 04,4.5,4,4.213333305, 
01/03/2018 05,4.199999809,4,4.063333273, 
01/03/2018 06,4.199999809,3.799999952,4.098333228, 
01/03/2018 07,5.5,4.199999809,4.841666683, 
01/03/2018 08,8.899999619,5.599999905,7.026666673, 
01/03/2018 09,11.80000019,8.800000191,10.5083333, 
01/03/2018 10,13.89999962,11.69999981,12.90333341, 
01/03/2018 11,17.10000038,13.69999981,15.07000001, 
01/03/2018 12,17.5,16.29999924,16.97000001, 
01/03/2018 13,17.70000076,16.79999924,17.26166677, 
01/03/2018 14,17.79999924,16.70000076,17.24666656, 
01/03/2018 15,18.10000038,16.89999962,17.66833334, 
01/03/2018 16,16.79999924,14.30000019,15.54745758, 
