datetime, Max, Min, Average,
08/01/2018 00,20.79999924,20.60000038,20.7066672, 
08/01/2018 01,20.79999924,20.60000038,20.70833368, 
08/01/2018 02,20.89999962,20.60000038,20.75999991, 
08/01/2018 03,20.89999962,20.60000038,20.77833284, 
08/01/2018 04,20.70000076,20.5,20.60833375, 
08/01/2018 05,20.70000076,20.39999962,20.58833367, 
08/01/2018 06,20.70000076,20.29999924,20.51000004, 
08/01/2018 07,21.10000038,20.5,20.79666691, 
08/01/2018 08,23.60000038,21.10000038,22.51333342, 
08/01/2018 09,25.39999962,23.60000038,24.60166648, 
08/01/2018 10,25.29999924,24.39999962,24.77666686, 
08/01/2018 11,25.79999924,25.10000038,25.45333344, 
08/01/2018 12,25.70000076,21.39999962,22.81833337, 
08/01/2018 13,23.5,21.70000076,22.48499991, 
08/01/2018 14,24.79999924,23.29999924,24.09833336, 
08/01/2018 15,24.79999924,24,24.41500009, 
08/01/2018 16,25,23.89999962,24.3916666, 
08/01/2018 17,24.10000038,23.5,23.81000013, 
08/01/2018 18,23.5,21.70000076,22.25499986, 
08/01/2018 19,21.70000076,21.29999924,21.4566665, 
08/01/2018 20,21.5,21.29999924,21.43499975, 
08/01/2018 21,21.5,21.20000076,21.34833279, 
08/01/2018 22,21.5,21.29999924,21.35499945, 
08/01/2018 23,21.39999962,21.29999924,21.32333266, 
08/02/2018 00,21.5,21.29999924,21.38833291, 
08/02/2018 01,21.29999924,21.20000076,21.24833336, 
08/02/2018 02,21.29999924,21.20000076,21.24500008, 
08/02/2018 03,21.29999924,21,21.14000044, 
08/02/2018 04,21.10000038,21,21.0250001, 
08/02/2018 05,21.10000038,20.89999962,20.99499998, 
08/02/2018 06,21.29999924,20.89999962,21.08000027, 
08/02/2018 07,21.79999924,21.29999924,21.53333337, 
08/02/2018 08,23.70000076,21.70000076,22.60000006, 
08/02/2018 09,25.10000038,23.70000076,24.31666686, 
08/02/2018 10,27,25.20000076,26.23166669, 
08/02/2018 11,27.79999924,26.39999962,27.06499993, 
08/02/2018 12,27.60000038,26.70000076,27.20333331, 
08/02/2018 13,26.79999924,24.79999924,25.35666672, 
08/02/2018 14,25.60000038,24.60000038,25.05833333, 
08/02/2018 15,25.29999924,23.79999924,24.42000001, 
08/02/2018 16,24.29999924,23.79999924,24.10666672, 
08/02/2018 17,24.39999962,23.5,23.78833345, 
08/02/2018 18,23.60000038,23.5,23.5616669, 
08/02/2018 19,23.5,22.89999962,23.23833326, 
08/02/2018 20,23,22.89999962,22.90166629, 
08/02/2018 21,22.89999962,22.60000038,22.74666665, 
08/02/2018 22,22.60000038,22.39999962,22.47833325, 
08/02/2018 23,22.5,22.29999924,22.43333308, 
08/03/2018 00,22.39999962,21.89999962,22.17333326, 
08/03/2018 01,21.89999962,21.70000076,21.878333, 
08/03/2018 02,21.70000076,21.5,21.57500029, 
08/03/2018 03,21.60000038,21.39999962,21.5183334, 
08/03/2018 04,21.5,21.20000076,21.28499997, 
08/03/2018 05,21.60000038,21.29999924,21.42833306, 
08/03/2018 06,22.20000076,21.60000038,21.84500024, 
08/03/2018 07,23,22.20000076,22.62166669, 
08/03/2018 08,24.10000038,22.89999962,23.36499987, 
08/03/2018 09,24.29999924,23.79999924,24.02666661, 
08/03/2018 10,25.60000038,23.89999962,24.93666671, 
08/03/2018 11,25.39999962,24.79999924,25.11166668, 
08/03/2018 12,25.60000038,24,25.16499999, 
08/03/2018 13,24,22,22.6183334, 
08/03/2018 14,22.70000076,22,22.23833335, 
08/03/2018 15,25.20000076,22.79999924,24.16166668, 
08/03/2018 16,25.10000038,22.20000076,23.28666674, 
08/03/2018 17,22.60000038,22.20000076,22.28833335, 
08/03/2018 18,22.29999924,21.89999962,22.0600002, 
08/03/2018 19,22.10000038,21.89999962,21.95833317, 
08/03/2018 20,22.29999924,21.79999924,21.99833326, 
08/03/2018 21,21.79999924,21.39999962,21.57333358, 
08/03/2018 22,21.79999924,21.5,21.6799998, 
08/03/2018 23,21.79999924,21.60000038,21.72881372, 
08/04/2018 00,21.60000038,21.39999962,21.50666669, 
08/04/2018 01,21.39999962,21.20000076,21.24500024, 
08/04/2018 02,21.29999924,21.20000076,21.25333328, 
08/04/2018 03,21.29999924,21.20000076,21.26333313, 
08/04/2018 04,21.20000076,21.20000076,21.20000076, 
08/04/2018 05,21.20000076,21.20000076,21.20000076, 
08/04/2018 06,21.70000076,21.20000076,21.44499985, 
08/04/2018 07,22,21.60000038,21.86666657, 
08/04/2018 08,22.89999962,22,22.43833342, 
08/04/2018 09,22.60000038,21.89999962,22.17166653, 
08/04/2018 10,23.60000038,21.89999962,22.59333344, 
08/04/2018 11,23.89999962,23.39999962,23.6533336, 
08/04/2018 12,23.89999962,23.29999924,23.62833341, 
08/04/2018 13,24.5,23.89999962,24.24833349, 
08/04/2018 14,24.79999924,24.39999962,24.66500012, 
08/04/2018 15,24.60000038,24.10000038,24.25666685, 
08/04/2018 16,24.20000076,22.89999962,23.53833316, 
08/04/2018 17,22.89999962,22.39999962,22.49499985, 
08/04/2018 18,22.60000038,22.39999962,22.49833333, 
08/04/2018 19,22.60000038,22.5,22.57833363, 
08/04/2018 20,22.5,21.89999962,22.10999988, 
08/04/2018 21,22,21.89999962,21.94833314, 
08/04/2018 22,22.10000038,21.89999962,22.01333338, 
08/04/2018 23,21.89999962,21.39999962,21.74666669, 
08/05/2018 00,21.39999962,21.20000076,21.31999982, 
08/05/2018 01,21.20000076,20.79999924,20.94166644, 
08/05/2018 02,21,20.79999924,20.87999954, 
08/05/2018 03,20.89999962,20.79999924,20.80999928, 
08/05/2018 04,20.79999924,20.70000076,20.73500023, 
08/05/2018 05,20.79999924,20.70000076,20.71833382, 
08/05/2018 06,20.79999924,20.5,20.7100002, 
08/05/2018 07,21.20000076,20.70000076,20.90999972, 
08/05/2018 08,21.79999924,21.10000038,21.33500017, 
08/05/2018 09,22.70000076,21.60000038,22.06500006, 
08/05/2018 10,24.10000038,22.60000038,23.3583334, 
08/05/2018 11,24.5,24.10000038,24.31999982, 
08/05/2018 12,25.70000076,24.39999962,25.10500008, 
08/05/2018 13,26.29999924,25.39999962,25.67833335, 
08/05/2018 14,26.70000076,25.60000038,26.26333342, 
08/05/2018 15,25.79999924,25.5,25.67166704, 
08/05/2018 16,27.20000076,25.5,26.25333319, 
08/05/2018 17,26.39999962,25.5,25.96999998, 
08/05/2018 18,25.5,24.10000038,24.58833332, 
08/05/2018 19,24.10000038,23.60000038,23.89333331, 
08/05/2018 20,23.60000038,23.20000076,23.44666659, 
08/05/2018 21,23.20000076,22.89999962,23.02000008, 
08/05/2018 22,22.89999962,22.60000038,22.66666692, 
08/05/2018 23,22.60000038,22.29999924,22.47333323, 
08/06/2018 00,22.39999962,22.29999924,22.30999928, 
08/06/2018 01,22.5,22.29999924,22.38999958, 
08/06/2018 02,22.29999924,22.20000076,22.28499947, 
08/06/2018 03,22.29999924,21.39999962,21.99333324, 
08/06/2018 04,21.29999924,20.39999962,20.80166645, 
08/06/2018 05,20.5,20.10000038,20.2799997, 
08/06/2018 06,20.29999924,20,20.12333352, 
08/06/2018 07,20.5,20.10000038,20.32999986, 
08/06/2018 08,20.89999962,20.20000076,20.50000019, 
08/06/2018 09,21.29999924,20.70000076,20.96833353, 
08/06/2018 10,21.39999962,20.79999924,21.01333323, 
08/06/2018 11,22.89999962,21.29999924,22.06166668, 
08/06/2018 12,26.70000076,22.60000038,25.00666669, 
08/06/2018 13,27.5,25.89999962,26.83999993, 
08/06/2018 14,25.89999962,20.39999962,21.77333339, 
08/06/2018 15,20.70000076,20.29999924,20.38166622, 
08/06/2018 16,21.29999924,20.79999924,21.03333343, 
08/06/2018 17,22,21.10000038,21.40666676, 
08/06/2018 18,22.5,22,22.38999999, 
08/06/2018 19,22.5,22.20000076,22.35166658, 
08/06/2018 20,22.20000076,22.10000038,22.15500059, 
08/06/2018 21,22.20000076,21.79999924,22.04500017, 
08/06/2018 22,21.79999924,21.5,21.64666707, 
08/06/2018 23,21.60000038,21.29999924,21.44833314, 
08/07/2018 00,21.39999962,21.20000076,21.28333295, 
08/07/2018 01,21.20000076,21,21.11666711, 
08/07/2018 02,21.10000038,21,21.02833344, 
08/07/2018 03,21.20000076,20.89999962,21.04166683, 
08/07/2018 04,21.20000076,21,21.11333377, 
08/07/2018 05,21.10000038,20.89999962,20.99666665, 
08/07/2018 06,21.39999962,21,21.13000018, 
08/07/2018 07,22.79999924,21.39999962,22.30500021, 
08/07/2018 08,23.5,22.60000038,22.88666658, 
08/07/2018 09,25.5,23.60000038,24.36166668, 
08/07/2018 10,27.29999924,25,26.05333341, 
08/07/2018 11,28.39999962,26.89999962,27.63666665, 
08/07/2018 12,28.5,27.20000076,27.62666655, 
08/07/2018 13,28.20000076,27.10000038,27.43999993, 
08/07/2018 14,29,27.89999962,28.46666673, 
08/07/2018 15,29.10000038,26.29999924,28.40000019, 
08/07/2018 16,26.10000038,22.60000038,23.22666661, 
08/07/2018 17,23.60000038,22.89999962,23.25666688, 
08/07/2018 18,23.89999962,23,23.60500015, 
08/07/2018 19,24,23.70000076,23.9299998, 
08/07/2018 20,23.79999924,23.10000038,23.31666695, 
08/07/2018 21,23.10000038,22.79999924,22.87999954, 
08/07/2018 22,23,22.70000076,22.9316665, 
08/07/2018 23,22.70000076,22.10000038,22.30166702, 
08/08/2018 00,22.10000038,21.89999962,21.97999992, 
08/08/2018 01,21.89999962,21.70000076,21.80499957, 
08/08/2018 02,21.79999924,21.5,21.61666708, 
08/08/2018 03,21.60000038,21.39999962,21.5250001, 
08/08/2018 04,21.39999962,21.20000076,21.25833352, 
08/08/2018 05,21.20000076,20.89999962,21.09166702, 
08/08/2018 06,21.60000038,21,21.28000021, 
08/08/2018 07,22.79999924,21.5,22.08333346, 
08/08/2018 08,25.5,22.79999924,24.0416667, 
08/08/2018 09,27.29999924,25.60000038,26.3333333, 
08/08/2018 10,27.70000076,27,27.42333333, 
08/08/2018 11,27.60000038,26.70000076,27.01499987, 
08/08/2018 12,28.39999962,27.39999962,27.95666663, 
08/08/2018 13,28.5,27.39999962,27.72333339, 
08/08/2018 14,29,27.70000076,28.18666655, 
08/08/2018 15,28,27,27.39833323, 
08/08/2018 16,26.89999962,25.70000076,26.03833316, 
08/08/2018 17,26,25.79999924,25.88666623, 
08/08/2018 18,25.70000076,24.79999924,25.22833328, 
08/08/2018 19,24.79999924,24.29999924,24.54666681, 
08/08/2018 20,24.29999924,23.89999962,24.03666668, 
08/08/2018 21,23.89999962,23.29999924,23.61355927, 
08/08/2018 22,23.5,23.29999924,23.35666612, 
08/08/2018 23,23.29999924,23,23.10333366, 
08/09/2018 00,23.10000038,22.89999962,23.01166671, 
08/09/2018 01,22.89999962,22.70000076,22.82666642, 
08/09/2018 02,22.70000076,22.29999924,22.49166663, 
08/09/2018 03,22.29999924,21.79999924,22.00666656, 
08/09/2018 04,21.79999924,21.39999962,21.58000015, 
08/09/2018 05,21.5,21.20000076,21.31499939, 
08/09/2018 06,22.5,21.29999924,21.79666656, 
08/09/2018 07,23.89999962,22.5,23.15666679, 
08/09/2018 08,26.29999924,23.79999924,24.70666666, 
08/09/2018 09,27.10000038,26.10000038,26.62166669, 
08/09/2018 10,28.20000076,26.39999962,27.51333329, 
08/09/2018 11,29.10000038,27.70000076,28.28499997, 
08/09/2018 12,28.60000038,27.10000038,28.00166667, 
08/09/2018 13,28.89999962,27.20000076,28.07666667, 
08/09/2018 14,29.29999924,27.89999962,28.5583333, 
08/09/2018 15,28.70000076,27.39999962,28.03333321, 
