"gsid","index_no","station","district","year","month","days","utc_hour","rh"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","01","03","94.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","01","12","82.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","02","03","96.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","02","12","59.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","03","03","100.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","03","12","60.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","04","03","100.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","04","12","54.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","05","03","93.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","05","12","54.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","06","03","93.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","06","12","64.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","07","03","93.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","07","12","63.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","08","03","87.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","08","12","57.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","09","03","93.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","09","12","53.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","10","03","93.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","10","12","67.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","11","03","93.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","11","12","61.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","12","03","96.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","12","12","73.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","13","03","81.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","13","12","56.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","14","03","96.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","14","12","59.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","15","03","92.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","15","12","60.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","16","03","96.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","16","12","43.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","17","03","83.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","17","12","54.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","18","03","84.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","19","03","96.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","19","12","32.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","20","03","74.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","20","12","27.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","21","03","73.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","21","12","49.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","22","03","87.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","22","12","59.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","23","03","93.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","23","12","64.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","24","03","88.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","24","12","59.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","25","03","91.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","25","12","52.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","26","03","86.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","26","12","50.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","27","03","84.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","27","12","92.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","28","03","93.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","28","12","53.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","29","03","88.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","29","12","70.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","30","03","97.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","30","12","71.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","31","03","87.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","31","12","61.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","01","03","92.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","01","12","67.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","02","03","93.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","02","12","66.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","03","03","97.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","03","12","62.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","04","03","94.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","04","12","58.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","05","03","87.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","05","12","56.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","06","03","91.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","06","12","49.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","07","03","86.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","07","12","52.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","08","03","86.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","08","12","54.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","09","03","94.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","09","12","60.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","10","03","85.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","10","12","50.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","11","03","83.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","11","12","53.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","12","03","86.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","12","12","50.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","13","03","88.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","13","12","47.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","14","03","75.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","14","12","59.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","15","03","89.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","15","12","60.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","16","03","94.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","16","12","53.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","17","03","76.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","17","12","55.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","18","03","87.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","18","12","60.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","19","03","92.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","19","12","60.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","20","03","87.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","20","12","60.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","21","03","87.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","21","12","38.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","22","03","76.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","22","12","51.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","23","03","82.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","23","12","60.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","24","03","81.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","24","12","57.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","25","03","84.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","25","12","61.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","26","03","80.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","26","12","57.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","27","03","89.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","27","12","51.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","28","03","87.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","28","12","63.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","01","03","88.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","01","12","47.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","02","03","80.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","02","12","76.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","03","03","75.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","03","12","26.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","04","03","66.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","04","12","31.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","05","03","72.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","05","12","31.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","06","03","73.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","06","12","38.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","07","03","72.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","07","12","41.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","08","03","68.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","08","12","34.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","09","03","69.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","09","12","52.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","10","03","89.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","10","12","95.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","11","03","100.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","11","12","90.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","12","03","89.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","12","12","53.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","13","03","78.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","13","12","67.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","14","03","80.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","14","12","57.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","15","03","64.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","15","12","51.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","16","03","72.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","16","12","57.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","17","03","74.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","17","12","97.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","18","03","62.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","18","12","76.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","19","03","87.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","19","12","69.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","20","03","70.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","20","12","75.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","21","03","80.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","21","12","70.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","22","03","82.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","22","12","74.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","23","03","83.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","23","12","67.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","24","03","78.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","24","12","68.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","25","03","88.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","25","12","69.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","26","03","87.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","26","12","67.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","27","03","90.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","27","12","76.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","28","03","83.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","28","12","80.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","29","03","100.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","29","12","88.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","30","03","98.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","30","12","80.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","31","03","90.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","31","12","75.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","01","03","76.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","01","12","77.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","02","03","83.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","02","12","73.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","03","03","63.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","03","12","65.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","04","03","78.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","04","12","64.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","05","03","83.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","05","12","69.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","06","03","84.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","06","12","53.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","07","03","71.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","07","12","41.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","08","03","65.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","08","12","44.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","09","03","62.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","09","12","28.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","10","03","57.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","10","12","41.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","11","03","58.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","11","12","45.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","12","03","64.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","12","12","48.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","13","03","70.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","13","12","57.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","14","03","69.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","14","12","64.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","15","03","95.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","15","12","61.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","16","03","78.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","16","12","63.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","17","03","74.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","17","12","62.4000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","18","03","75.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","18","12","66.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","19","03","84.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","19","12","80.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","20","03","96.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","20","12","81.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","21","03","100.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","21","12","74.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","22","03","90.7000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","22","12","87.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","23","03","95.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","23","12","83.5000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","24","03","84.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","24","12","66.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","25","03","74.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","25","12","52.6000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","26","03","59.3000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","26","12","43.8000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","27","03","58.2000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","27","12","38.1000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","28","03","60.9000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","28","12","57.0000000000000000"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","29","03","62.6000000000000000"
