month,day,baar,time,eldata,tmdata,hddata
1,1,6,1,0.6,17.19,58.8
1,1,6,2,0.6,16.46,59.7
1,1,6,3,0.6,15.69,60.8
1,1,6,4,0.6,15.7,62.1
1,1,6,5,0.7,15.38,63.4
1,1,6,6,1.0,15.49,64.8
1,1,6,7,1.2,16.56,66.2
1,1,6,8,1.3,18.84,67.7
1,1,6,9,1.3,20.95,69.2
1,1,6,10,1.3,22.99,68.2
1,1,6,11,1.2,24.72,67.2
1,1,6,12,1.0,26.1,66.3
1,1,6,13,1.0,27.03,65.5
1,1,6,14,0.9,27.14,64.8
1,1,6,15,1.0,26.79,64.3
1,1,6,16,1.0,25.77,64.0
1,1,6,17,1.0,24.73,64.0
1,1,6,18,1.2,24.0,64.3
1,1,6,19,1.6,23.5,64.9
1,1,6,20,1.5,23.04,65.8
1,1,6,21,1.3,22.75,67.0
1,1,6,22,1.1,19.34,68.4
1,1,6,23,0.8,18.49,70.1
1,1,6,24,0.7,18.12,72.0
1,2,0,1,0.6,15.66,74.1
1,2,0,2,0.6,15.61,76.4
1,2,0,3,0.6,15.87,78.8
1,2,0,4,0.6,15.15,81.3
1,2,0,5,0.6,14.94,84.0
1,2,0,6,0.8,14.87,86.8
1,2,0,7,1.0,14.79,89.6
1,2,0,8,1.3,14.84,92.4
1,2,0,9,1.4,14.93,95.3
1,2,0,10,1.3,15.74,90.6
1,2,0,11,1.2,17.28,86.0
1,2,0,12,1.1,19.41,81.5
1,2,0,13,1.0,21.9,77.2
1,2,0,14,1.0,22.74,73.2
1,2,0,15,1.0,23.24,69.6
1,2,0,16,1.0,23.57,66.3
1,2,0,17,1.0,22.73,63.5
1,2,0,18,1.2,21.92,61.3
1,2,0,19,1.6,20.49,59.7
1,2,0,20,1.6,19.25,58.6
1,2,0,21,1.4,18.2,58.1
1,2,0,22,1.0,18.01,58.1
1,2,0,23,0.8,17.14,58.5
1,2,0,24,0.6,16.47,59.3
1,3,1,1,0.6,16.37,60.6
1,3,1,2,0.6,15.82,62.1
1,3,1,3,0.6,15.6,63.9
1,3,1,4,0.6,15.18,66.0
1,3,1,5,0.6,14.97,68.3
1,3,1,6,0.9,15.14,70.7
1,3,1,7,1.2,16.52,73.3
1,3,1,8,1.5,18.84,75.9
1,3,1,9,1.4,21.16,78.6
1,3,1,10,1.3,22.59,76.5
1,3,1,11,1.3,24.04,74.4
1,3,1,12,1.3,25.35,72.3
1,3,1,13,1.2,26.35,70.4
1,3,1,14,1.4,26.51,68.6
1,3,1,15,1.6,26.28,67.0
1,3,1,16,1.5,26.02,65.5
1,3,1,17,1.5,25.35,64.3
1,3,1,18,1.4,24.02,63.4
1,3,1,19,1.7,22.92,62.8
1,3,1,20,1.7,21.92,62.4
1,3,1,21,1.5,20.62,62.3
1,3,1,22,1.1,19.7,62.5
1,3,1,23,0.8,18.78,62.8
1,3,1,24,0.7,18.15,63.4
1,4,2,1,0.6,17.33,64.1
1,4,2,2,0.6,16.43,65.0
1,4,2,3,0.6,15.58,66.1
1,4,2,4,0.6,15.3,67.3
1,4,2,5,0.6,15.33,68.5
1,4,2,6,0.9,15.92,69.9
1,4,2,7,1.3,17.56,71.3
1,4,2,8,1.4,19.73,72.7
1,4,2,9,1.4,21.53,74.2
1,4,2,10,1.3,23.24,72.5
1,4,2,11,1.3,24.7,70.8
1,4,2,12,1.2,25.61,69.2
1,4,2,13,0.9,26.2,67.6
1,4,2,14,0.9,27.0,66.2
1,4,2,15,0.9,27.17,65.0
1,4,2,16,0.9,26.65,63.9
1,4,2,17,0.9,25.65,63.0
1,4,2,18,1.0,24.43,62.4
1,4,2,19,1.3,23.32,62.0
1,4,2,20,2.0,22.26,61.9
1,4,2,21,1.6,21.26,62.1
1,4,2,22,1.2,20.31,62.4
1,4,2,23,0.8,19.76,63.0
1,4,2,24,0.7,19.48,63.7
1,5,3,1,0.7,19.22,64.6
1,5,3,2,0.6,18.47,65.7
1,5,3,3,0.6,18.41,66.9
1,5,3,4,0.6,17.72,68.2
1,5,3,5,0.7,17.46,69.5
1,5,3,6,1.0,17.82,71.0
1,5,3,7,1.3,19.04,72.5
1,5,3,8,1.5,21.24,74.0
1,5,3,9,1.4,23.87,75.6
1,5,3,10,1.4,25.45,74.2
1,5,3,11,1.3,26.21,72.8
1,5,3,12,1.3,25.67,71.5
1,5,3,13,1.3,25.81,70.3
1,5,3,14,1.3,26.35,69.2
1,5,3,15,1.3,25.93,68.3
1,5,3,16,1.3,25.82,67.5
1,5,3,17,1.4,25.64,67.0
1,5,3,18,1.5,24.91,66.7
1,5,3,19,1.8,24.12,66.7
1,5,3,20,1.8,23.44,66.9
1,5,3,21,1.6,22.8,67.4
1,5,3,22,1.2,21.67,68.1
1,5,3,23,0.9,20.95,68.9
1,5,3,24,0.8,20.48,70.0
1,6,4,1,0.6,20.05,71.3
1,6,4,2,0.6,19.81,72.6
1,6,4,3,0.6,19.69,74.2
1,6,4,4,0.6,19.53,75.8
1,6,4,5,0.7,19.41,77.5
1,6,4,6,1.0,19.68,79.3
1,6,4,7,1.7,20.24,81.1
1,6,4,8,1.9,20.78,83.0
1,6,4,9,1.7,21.12,84.9
1,6,4,10,1.4,22.61,84.1
1,6,4,11,1.4,24.73,83.4
1,6,4,12,1.3,24.86,82.7
1,6,4,13,1.3,23.63,82.0
1,6,4,14,1.3,22.15,81.5
1,6,4,15,1.3,20.61,81.0
1,6,4,16,1.4,19.36,80.7
1,6,4,17,1.3,20.18,80.5
1,6,4,18,1.3,19.75,80.5
1,6,4,19,1.7,19.23,80.7
1,6,4,20,1.8,18.68,81.0
1,6,4,21,1.5,17.83,81.5
1,6,4,22,1.1,17.2,82.2
1,6,4,23,0.8,16.89,83.0
1,6,4,24,0.7,16.42,84.0
1,7,5,1,0.6,15.92,85.0
1,7,5,2,0.6,16.39,86.2
1,7,5,3,0.6,16.76,87.4
1,7,5,4,0.6,16.69,88.7
1,7,5,5,0.6,16.77,90.1
1,7,5,6,1.0,17.04,91.5
1,7,5,7,1.3,18.37,93.0
1,7,5,8,1.5,19.01,94.5
1,7,5,9,1.4,19.54,96.0
1,7,5,10,1.3,19.44,93.9
1,7,5,11,1.2,18.6,91.8
1,7,5,12,1.2,19.19,89.8
1,7,5,13,1.2,19.85,88.0
1,7,5,14,1.2,21.69,86.2
1,7,5,15,1.2,22.37,84.7
1,7,5,16,1.2,22.26,83.4
1,7,5,17,1.2,21.89,82.4
1,7,5,18,1.7,21.51,81.7
1,7,5,19,1.8,20.71,81.3
1,7,5,20,1.7,19.91,81.3
1,7,5,21,1.5,19.5,81.6
1,7,5,22,1.1,19.33,82.1
1,7,5,23,0.9,18.95,82.9
1,7,5,24,0.7,18.22,84.0
1,8,6,1,0.6,17.85,85.2
1,8,6,2,0.6,17.48,86.7
1,8,6,3,0.6,17.27,88.3
1,8,6,4,0.6,17.22,90.0
1,8,6,5,0.6,17.32,91.9
1,8,6,6,0.9,17.37,93.8
1,8,6,7,1.4,17.54,95.8
1,8,6,8,1.5,17.8,97.9
1,8,6,9,1.4,18.17,100.0
1,8,6,10,1.3,19.69,96.4
1,8,6,11,1.2,21.52,92.8
1,8,6,12,1.2,23.52,89.4
1,8,6,13,1.3,24.9,86.1
1,8,6,14,1.3,25.87,83.0
1,8,6,15,1.2,26.37,80.2
1,8,6,16,1.2,26.09,77.8
1,8,6,17,1.2,24.73,75.7
1,8,6,18,1.3,23.73,74.1
1,8,6,19,1.7,23.2,73.0
1,8,6,20,1.7,22.6,72.3
1,8,6,21,1.6,21.85,72.0
1,8,6,22,1.2,21.49,72.2
1,8,6,23,0.8,21.38,72.7
1,8,6,24,0.7,20.87,73.6
1,9,0,1,0.6,20.8,74.7
1,9,0,2,0.6,20.58,76.1
1,9,0,3,0.6,20.09,77.8
1,9,0,4,0.6,19.96,79.6
1,9,0,5,0.7,19.96,81.6
1,9,0,6,0.9,20.06,83.8
1,9,0,7,1.2,20.52,86.0
1,9,0,8,1.3,20.87,88.4
1,9,0,9,1.5,19.23,90.7
1,9,0,10,1.3,20.05,90.1
1,9,0,11,1.3,21.29,89.6
1,9,0,12,1.2,20.74,89.1
1,9,0,13,1.1,21.29,88.6
1,9,0,14,1.1,20.92,88.2
1,9,0,15,1.1,21.1,87.8
1,9,0,16,1.1,21.1,87.6
1,9,0,17,1.1,21.58,87.4
1,9,0,18,1.1,21.36,87.3
1,9,0,19,1.6,20.3,87.3
1,9,0,20,1.8,20.18,87.5
1,9,0,21,1.4,20.17,87.7
1,9,0,22,1.0,19.88,88.1
1,9,0,23,0.8,17.89,88.5
1,9,0,24,0.6,16.76,89.0
1,10,1,1,0.6,16.8,89.6
1,10,1,2,0.6,16.44,90.3
1,10,1,3,0.6,16.4,91.0
1,10,1,4,0.6,16.61,91.7
1,10,1,5,0.6,16.56,92.5
1,10,1,6,1.0,16.8,93.3
1,10,1,7,1.4,17.44,94.2
1,10,1,8,1.5,18.24,95.0
1,10,1,9,1.4,18.87,95.9
1,10,1,10,1.3,19.32,94.3
